"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","D2",20.8,"D",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","D2",42.2,"D",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","D2",57.3,"D",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","C2",41.6,"C",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","C2",55.6,"C",8
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","C2",39.5,"C",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","C2",58.1,"C",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","C2",61.5,"C",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","C3",33.2,"C",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","C3",46.2,"C",8
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","C3",31.4,"C",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","C3",46.6,"C",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","C3",55.5,"C",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","D3",9.2,"D",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","D3",11.9,"D",8
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","D3",11.5,"D",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","D3",24.1,"D",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","D3",43.7,"D",64
2017-07-25 12:00:00,"D5","Dublin",5,"Dublin5","D1",71.7,"D",0
2017-08-02 12:00:00,"D5","Dublin",5,"Dublin5","D1",87.7,"D",8
2017-08-10 12:00:00,"D5","Dublin",5,"Dublin5","D1",70.6,"D",16
2017-08-26 12:00:00,"D5","Dublin",5,"Dublin5","D1",81,"D",32
2017-07-25 12:00:00,"D5","Dublin",5,"Dublin5","C1",63.7,"C",0
2017-08-02 12:00:00,"D5","Dublin",5,"Dublin5","C1",95.9,"C",8
2017-08-10 12:00:00,"D5","Dublin",5,"Dublin5","C1",65.7,"C",16
2017-08-26 12:00:00,"D5","Dublin",5,"Dublin5","C1",85.2,"C",32
2017-07-25 12:00:00,"D5","Dublin",5,"Dublin5","D2",77.5,"D",0
2017-08-02 12:00:00,"D5","Dublin",5,"Dublin5","D2",88.8,"D",8
2017-08-10 12:00:00,"D5","Dublin",5,"Dublin5","D2",78.8,"D",16
2017-08-26 12:00:00,"D5","Dublin",5,"Dublin5","D2",87.7,"D",32
2017-07-25 12:00:00,"D5","Dublin",5,"Dublin5","C2",70.8,"C",0
2017-08-02 12:00:00,"D5","Dublin",5,"Dublin5","C2",93.2,"C",8
2017-08-10 12:00:00,"D5","Dublin",5,"Dublin5","C2",72.9,"C",16
2017-08-26 12:00:00,"D5","Dublin",5,"Dublin5","C2",84.8,"C",32
2017-07-25 12:00:00,"D5","Dublin",5,"Dublin5","C3",63.6,"C",0
